,Park Name,Cause of Death,DeathCategory,Intent,Outcome,Sex,Age Range,Activity,date,latlong,latitude,longitude,Weather
0,Glen Canyon National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,65+,Not Reported,2007-01-01,"37.6580958,-111.09320889669256",37.6580958,-111.09320889669256,
1,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,Not Reported,Vessel Related,2007-01-22,"37.8499275,-122.5177518",37.8499275,-122.5177518,
2,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Vessel Related,2007-01-22,"37.8499275,-122.5177518",37.8499275,-122.5177518,
3,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,15-24,Driving ,2007-01-29,"32.0071549,-90.8585141",32.0071549,-90.8585141,
4,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal injury,Female,45-54,Driving ,2007-01-29,"32.0071549,-90.8585141",32.0071549,-90.8585141,
5,Gateway National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal injury,Male,Not Reported,Not Reported,2007-02-07,"40.598478850000006,-73.85792711726249",40.598478850000006,-73.85792711726249,
6,Black Canyon Of The Gunnison National Park,Fall,Fall,Unintentional,Fatal injury,Female,15-24,Not Reported,2007-02-10,"38.579806500000004,-107.74369704974094",38.5798065,-107.74369704974094,
7,Big South Fork National River and Recreation Area,Drowning,Drowning,Unintentional,Fatal injury,Male,25-34,Swimming,2007-02-11,"36.55957135,-84.67152906134696",36.55957135,-84.67152906134696,
8,Mount Rainier National Park,Avalanche,Environmental,Unintentional,Fatal injury,Male,45-54,Skiing,2007-02-24,"46.854338049999996,-121.70633428313513",46.85433805,-121.70633428313512,
9,Biscayne National Park,Vessel Incident ,Other Transportation,Unintentional,Fatal injury,Male,25-34,Diving - Scuba,2007-03-03,"25.503122349999998,-80.23484963198766",25.50312235,-80.23484963198766,
